arxiv_id,published,updated,year,title,authors,primary_category,categories,screening_label,screening_reason,track_tags,matched_queries,arxiv_url,pdf_url,abstract
2608.06628,2026-08-06T22:34:20Z,2026-08-06T22:34:20Z,2026,Retrofitting Linear Attention into Diffusion Language Models,Jinha Kim; Younghun Roh; Jaeyeon Kim,,cs.LG,screen_out,broad-query retrieval without direct SD focus,parallel_block;diffusion;serving_scheduling;training_alignment;benchmark_survey,"all:""parallel decoding""",https://arxiv.org/abs/2608.06628,https://arxiv.org/pdf/2608.06628,"Diffusion language models (dLLMs) offer a promising alternative to autoregressive models by accelerating inference through parallel decoding. Recent dLLMs commonly use blockwise semi-autoregressive decoding, generating blocks autoregressively while denoising tokens within each active block in parallel. However, despite KV caching, each denoising step still attends to all previous blocks, repeatedly incurring prefix-attention cost. Motivated by this bottleneck, we ask whether dLLM inference can be further accelerated by linearizing attention over previous blocks. We introduce block-hybrid attention, which retains exact softmax attention within the active denoising block while applying linear attention over previous blocks. We show that this hybrid attention can be retrofitted into a pretrained dLLM with minimal post-training: LLaDA-Hybrid replaces 6 of the 20 attention layers in LLaDA~2.1, a 16B open-source dLLM, largely following LoLCAT (Zhang et al, 2024). The conversion takes only approximately 60 hours while preserving benchmark performance: 72.0% vs. 75.6% on HumanEval, 63.0% vs. 57.7% on MBPP+, and 86.7% vs. 88.3% on CMATH. With a Triton implementation, LLaDA-Hybrid achieves up to $1.7\times$ higher decoding throughput and supports more concurrent requests before exhausting memory, showing that pretrained dLLMs can be efficiently linearized for faster inference. Our code is available at: https://github.com/Diuven/LLaDA-Hybrid."
2608.06146,2026-08-06T15:16:18Z,2026-08-06T15:16:18Z,2026,PaDoc: Layout-Grounded Parallel Decoding for Document Parsing,Hao Yu; Jiabo Zhan; Kang Liu; Linnan Zhao; Dongxu Yue; Rui Chen; Jinglin Wang; Chong Sun; Chen Li; Jing Lyu; Chun Yuan,,cs.AI,screen_out,broad-query retrieval without direct SD focus,serving_scheduling;training_alignment,"all:""parallel decoding""",https://arxiv.org/abs/2608.06146,https://arxiv.org/pdf/2608.06146,"End-to-end document parsers provide a unified interface, but serialize page layouts and regional contents into one autoregressive sequence. This formulation forces independent regions onto a decoding path whose length grows with the total content, whereas crop-based two-stage parsers expose region-level parallelism at the cost of repeated visual prefills and fragmented page context. To retain full-page context while removing dependencies, we propose PaDoc, a layout-grounded parser that treats the predicted layout as a branching structure over a shared page representation. Under a region-sufficiency assumption, we derive a prefix-conditioned factorization in which the layout stream and regional content branches advance concurrently, reducing the decoding depth to the longest layout-content path. We realize this factorization within a single MLLM: packed variable-length ancestor attention preserves the visibility under standard next-token training, while masked parallel decoding creates branches that the evaluated vLLM backend serves as concurrent requests with cache-resident shared-prefix reuse. On OmniDocBench Full, PaDoc attains an Overall layout F1 of 91.1 and, among end-to-end parsers, a top-tier Overall score of 94.24 together with the best Text Edit (0.038) and Formula CDM (95.59). On a 384-page subset and one A800 GPU, it is the fastest end-to-end parser at five concurrency levels, improving valid-page throughput by 67.4-118% and reducing P95 latency by 39.2-54.9% relative to a same-backbone Sequential SFT baseline. Code is available at https://github.com/Longin-Yu/Padoc"
2608.05926,2026-08-06T11:57:36Z,2026-08-06T11:57:36Z,2026,BALANCE: Hybrid Autoregressive-Speculative LLM Inference in Wireless Edge Networks,Guanqiao Qu; Shuo Chen; Qian Chen; Kin K. Leung; Xianhao Chen,,cs.NI cs.AI,probable_core,SD-focused contribution language in abstract,theory;standalone_drafter;tree_multidraft;verification;serving_scheduling;training_alignment;edge_device,"all:""speculative decoding""",https://arxiv.org/abs/2608.05926,https://arxiv.org/pdf/2608.05926,"Edge inference is a promising paradigm to provide large language model (LLM) inference services in next-generation mobile networks. LLM inference mainly relies on two approaches: Autoregressive decoding (AD) generates output tokens sequentially, resulting in long latency; Speculative decoding (SD) accelerates inference by using a small language model (SLM) to generate multiple draft tokens for LLM verification, but incurs extra memory costs. Due to this latency-memory tradeoff, neither approach alone can efficiently serve users with heterogeneous demands under limited edge computing resources. To address this challenge, we propose a hybrid autoregressive-speculative inference (BALANCE) framework for edge LLM inference. In BALANCE, an edge server hosts both an SLM and an LLM, assigns each user to AD or SD, and performs the two modes simultaneously. To maximize the number of served users, we formulate a task throughput maximization problem to jointly determine user scheduling and computing resource allocation between AD and SD under user latency requirements and server memory constraints. Since the problem is NP-hard, we develop a polynomial-time algorithm that transforms the original problem into two sub-problems and obtains a sub-optimal solution with a constant approximation guarantee. Experiments demonstrate that BALANCE consistently outperforms conventional AD and SD and significantly improves task throughput."
2608.05806,2026-08-06T09:41:41Z,2026-08-06T09:41:41Z,2026,Hierarchical Latent Prediction for Language Models,Chang Shi; Tim Pearce; Manan Tomar; Siddhartha Sen; John Langford,,cs.CL cs.AI,probable_core,SD-focused contribution language in abstract,mtp_multihead;training_alignment;rl_rollout;benchmark_survey,"all:""multi-token prediction"";all:""speculative decoding""",https://arxiv.org/abs/2608.05806,https://arxiv.org/pdf/2608.05806,"While standard Next-Token Prediction (NTP) lays the foundation of language model pre- training, its teacher-forced training paradigm may not be optimal for long-horizon reasoning and planning. Recent works such as Multi-Token Prediction (MTP) and Next-Latent prediction (NextLat) try to mitigate the problem through predicting multiple future tokens and self-supervised prediction in the latent space. However, those auxiliary objectives either have a limited horizon or suffer from compounding error from multi-step rollout. We introduce Hierarchical Latent Prediction (HiLP), which introduces an auxiliary higher-level abstract latent to help reduce the error accumulation effect in latent-space rollouts. Experiments show that HiLP can lead to longer-horizon coherent belief state representation and demonstrate the effectiveness of our method across coding and multi-step reasoning benchmarks, and offers more speculative decoding efficiency."
2608.05687,2026-08-06T07:25:04Z,2026-08-06T07:25:04Z,2026,"Answer First, Reason Later: Commitment Order in Diffusion LLMs",Jewon Yeom; Jaewon Sok; Seonghyeon Park; Jeongjae Park; Hwiyeong Lee; Taesup Kim,,cs.CL cs.AI,screen_out,broad-query retrieval without direct SD focus,diffusion;serving_scheduling;training_alignment,"all:""parallel decoding""",https://arxiv.org/abs/2608.05687,https://arxiv.org/pdf/2608.05687,"Masked diffusion language models (dLLMs) can commit tokens in any order -- a freedom marketed as their core advantage over autoregressive decoding. We show that on reasoning tasks this freedom is instead the axis of failure. Logging every commitment during decoding of LLaDA-8B on GSM8K, we find that unconstrained (pure) decoding commits the final answer at 15-24% of the trajectory while half the reasoning region is still masked, and collapses to answer-only outputs on up to 90% of problems as the canvas grows. The cause is not the model's termination beliefs -- EOS ""pressure"" is nearly identical across decoders -- but reachability: whether the sampler may act on those beliefs at distant positions. A 2x2 prompt-decoder design shows that chain-of-thought helps only under ordered commitment (interaction +34.8 percentage points, 95% CI [26.8, 42.8]; without reasoning text the decoders are indistinguishable), an interaction we decompose into a collapse channel and an order channel and replicate on Dream-7B and MATH-500. A single-knob intervention -- frontier-gated commitment -- causally recovers the full gap (0.528 to 0.852) while preserving up to 4x parallel decoding, along a measured frontier whose optimal window flips from w=1 at full refinement to unconstrained at 8 tokens/step. Our results reframe existing window-style samplers, previously motivated by efficiency, as the minimal fix for a reasoning pathology they were never designed to address."
2608.05643,2026-08-06T06:38:37Z,2026-08-06T06:38:37Z,2026,Refining Over Resampling: Test-Time Self-Correction for LLM Reasoning,Ahsan Bilal; Muhammad Ahmed Mohsin; Muhammad Umer; Lena Trigg; Ali Subhan; Muhammad Ali; Dean F. Hougen,,cs.AI cs.CL,screen_out,broad-query retrieval without direct SD focus,verification;serving_scheduling;rl_rollout,"all:""lookahead decoding""",https://arxiv.org/abs/2608.05643,https://arxiv.org/pdf/2608.05643,"Test-time scaling improves LLM reasoning by using additional inference compute, but wider sampling alone can suffer from diminishing returns: new rollouts often repeat existing answer patterns instead of adding useful reasoning diversity. Verifier-based selection offers an alternative, but its performance depends on the calibration of an external reward model. We propose a verifier-free breadth--depth refinement framework that uses test-time compute to both explore and improve candidate solutions. The method samples multiple independent reasoning rollouts, refines each rollout through iterative self-critique and self-correction, and aggregates the refined answers by majority voting. Breadth preserves diverse initial attempts, while depth repairs local reasoning errors before aggregation. Across AIME24, AIME25, AMC, OlympiadBench, and MATH500, our method consistently improves over greedy decoding, majority voting, verifier-based best-of-$N$, beam search, and lookahead decoding across multiple open-weight models. For instance, with Qwen2.5-1.5B, accuracy increases from the strongest verifier-based baseline to $58.0\%$ on MATH500, and from $25.0\%$ to $32.5\%$ on AMC. These results show that test-time compute can be more effective when used to refine sampled trajectories rather than only to sample more candidates or rely on verifier-guided selection."
2608.05448,2026-08-05T22:49:54Z,2026-08-05T22:49:54Z,2026,DBLAST: Dependent Block Drafting for Stochastic Speculative Decoding,Amirmohammad Karimi; Chao Gao; Negar Hassanpour,,cs.CL,probable_core,direct title,parallel_block;diffusion;verification;training_alignment;benchmark_survey,"all:""speculative decoding""",https://arxiv.org/abs/2608.05448,https://arxiv.org/pdf/2608.05448,"Speculative decoding accelerates large language models' inference by using a lightweight drafter to propose multiple future tokens and a target model to verify them. While recent block and diffusion-style drafters can predict several positions in a single pass, their training and sampling procedures are typically optimized for greedy decoding or assume that positions in the draft block are conditionally independent. This assumption becomes brittle in non-greedy speculative decoding, where the target distribution is deliberately stochastic and multiple continuations become plausible. We study this mismatch for block diffusion drafters and show that the accepted draft length degrades as the entropy of the target sampling distribution increases. We propose a dependent block drafter based on a low-rank latent mixture over token positions, complemented by an acceptance-oriented training objective that directly targets the expected verified length. Experiments with Qwen3-4B and Qwen3-8B on GSM8K, MT-Bench, HumanEval, and creative-writing benchmarks show that our approach, namely DBLast, consistently improves accepted length over independent block sampling, especially in higher-entropy decoding regimes."
2608.05303,2026-08-05T18:03:47Z,2026-08-05T18:03:47Z,2026,EdgeXpert: An Edge Device for Memory-Efficient LLM Inference with Mixture-of-Experts and Speculative Decoding,Sangwoo Ha; Hyunwoo Seo; Yurim Jo; Youngjin Moon; Hoi-Jun Yoo,,cs.AR cs.CL cs.LG,probable_core,direct title,moe;edge_device,"all:""speculative decoding""",https://arxiv.org/abs/2608.05303,https://arxiv.org/pdf/2608.05303,"On-device deployment of Large Language Models (LLMs) has become essential for personalized edge applications. A primary bottleneck is external memory access (EMA) in feed-forward network (FFN) layers. Speculative decoding and mixture-of-experts (MoE) are promising solutions. Speculative decoding reduces the number of decoding stages by generating multiple tokens per stage, and MoE minimizes per-stage cost through sparse expert activation. However, there is an incompatibility when combining these two techniques. We propose EdgeXpert, a software-hardware co-designed LLM accelerator that resolves this incompatibility. In the prefill stage, the prompt-wise expert reuse reformulates routing as prompt-level expert reuse rather than independent per-token expert selection. It identifies important tokens using a lightweight encoder, constructs a shared expert set from them, and routes less important tokens with a reduced expert budget to lower expert EMA. In the decode stage, depth-aware expert coalescing exploits the contextual similarity and mutual exclusivity of same-depth candidate tokens. Rather than loading the union of all required channels, EdgeXpert loads only salient channels and applies computational calibration to recover accuracy without additional memory access. Synthesized in Samsung 28nm technology at 800 MHz, EdgeXpert achieves up to 56.3% latency reduction and 44.1% energy reduction compared to prior works, while maintaining near-baseline accuracy."
2608.04974,2026-08-05T15:45:15Z,2026-08-05T15:45:15Z,2026,AsymSpec: Efficient Cloud-Edge Speculative Decoding over Asymmetric Networks,Guotao Yang; Hao Chen; Rui Guo; Xinyu Li; Liang Zheng; Sheng Chen; Yitao Hu; Keqiu Li,,cs.DC,probable_core,SD-focused contribution language in abstract,standalone_drafter;verification;serving_scheduling;training_alignment;edge_device,"all:""speculative decoding""",https://arxiv.org/abs/2608.04974,https://arxiv.org/pdf/2608.04974,"Cloud-edge speculative decoding places a lightweight draft model at an edge gateway and a higher-quality target model in the cloud, but inserts communication into every speculative block. Under a constrained uplink, candidate messages may queue while the verifier is idle. Stop-and-wait scheduling leaves edge compute underutilized; optimistic same-request runahead can waste work when a rejection or an unexpected bonus token invalidates dependent drafts. We present AsymSpec, which addresses uplink-gated verification and invalid dependent work with two corresponding mechanisms. Its asymmetric verification protocol keeps the common-path acceptance upload compact and moves richer, rejection-only correction information to the downlink. A total-variation (TV) certificate for the residual distribution determines whether a small target top-K response suffices; if not, the protocol progressively escalates through proposal-based exact recovery before falling back to the full distribution. Its confirmed-prefix pipeline exposes only independent, valid requests to the edge scheduler and lets the cloud re-batch arrived blocks, hiding verification waits when another confirmed-prefix request is ready without using same-request runahead. Across three draft-target pairs, two workloads, and three asymmetric network profiles, our end-to-end evaluation shows that AsymSpec delivers 2.82-28.03$\times$ the output-token throughput of the strongest baseline."
2608.04962,2026-08-05T15:32:27Z,2026-08-05T15:32:27Z,2026,SpecRoll: Fast-Slow Verifier-Feedback Adaptation for Speculative Reinforcement Learning Rollouts,Nhat Minh Pham; Duy Tung Doan; Thi Duyen Ngo; Vinh Van Nguyen; Khac-Hoai Nam Bui,,cs.LG cs.CL,probable_core,SD-focused contribution language in abstract,theory;tree_multidraft;verification;serving_scheduling;training_alignment;rl_rollout,"all:""speculative decoding""",https://arxiv.org/abs/2608.04962,https://arxiv.org/pdf/2608.04962,"Reinforcement learning (RL) post-training improves the reasoning capabilities of large language models, but autoregressive rollout generation remains a major efficiency bottleneck. Speculative decoding can accelerate generation, yet applying it during RL is difficult because the target policy continually evolves: static proposers become stale, while frequent drafter updates add substantial overhead. We introduce SpecRoll, a speculative rollout engine that preserves the target model's sampling distribution while adapting at two timescales. Lightweight future-token heads generate parallel proposals, while our proposed Reflex module uses delayed verifier feedback to perform bounded, trajectory-local hidden-state corrections without backpropagation. A complementary slow path updates the head parameters only when sustained degradation is detected. SpecRoll combines these mechanisms with concurrency-aware sparse-tree verification and exact target verification, leaving the target rollout distribution and GRPO objective unchanged. Across five models ranging from 1.5B to 14B and three mathematical reasoning datasets, SpecRoll achieves 1.26-2.15x generation speedup and 1.21-2.04x end-to-end speedup over vanilla GRPO. It also outperforms FastGRPO in both generation and end-to-end time across all 15 matched settings, with an average pairwise end-to-end gain of 1.18x. Controlled ablations show that the fast and slow adaptation paths provide complementary benefits. Our source code is available at https://anonymous.4open.science/r/SpecRoll-26062006."
