source_id,published,title,source_family,screening_tier,relation_to_sd,correctness,read_status,pages_read,source_url,pdf_url,intake_priority,notes
2608.24411,2026-08-25,ResiSpec: Enhancing Multi-Candidate Speculative Sampling via Residual Distribution Shaping,arXiv,core,exact multi-candidate residual correction,distribution-exact,method_results_verified,14,https://arxiv.org/abs/2608.24411,https://arxiv.org/pdf/2608.24411,immediate,Residual drift and coupled proposal-residual update
2608.24004,2026-08-25,AgentSpec: Speculative Decoding for Batch Inference of LLM Agents,arXiv,core,structured retrieval and batch budget,target-preserving standard verification,method_results_verified,12,https://arxiv.org/abs/2608.24004,https://arxiv.org/pdf/2608.24004,immediate,Requires agent/query/semantic-block metadata
2608.22883,2026-08-24,FOVEA: Focused On-Demand Visual Evidence Adaptation for Cache-Friendly Multimodal Speculative Decoding,arXiv,core,multimodal visual conditioning,target-preserving greedy verification,method_results_verified,14,https://arxiv.org/abs/2608.22883,https://arxiv.org/pdf/2608.22883,immediate,Per-node visual-memory retrieval without historical KV insertion
2608.22788,2026-08-24,TailSieve: Partial-Rollout-Guided Tail Routing for LLM Rollouts,arXiv,application,RL rollout scheduling,application-level approximate pipeline,method_results_verified,33,https://arxiv.org/abs/2608.22788,https://arxiv.org/pdf/2608.22788,medium,Tail isolation plus route-specialized MTP or DFlash
2608.20961,2026-08-21,TreeWY: Speculative Verification for Gated DeltaNet Hybrids,arXiv,core,hybrid recurrent-state tree verification,target-preserving with finite-precision caveat,method_results_verified,10,https://arxiv.org/abs/2608.20961,https://arxiv.org/pdf/2608.20961,immediate,Tree WY/UT transform avoids per-node matrix snapshots
2608.20743,2026-08-21,Is Multimodal Speculative Decoding Ready for Diffusion-Based Parallel Drafting? A Survey and Empirical Diagnosis,arXiv,evidence,multimodal diagnosis,not-a-method,method_results_verified,26,https://arxiv.org/abs/2608.20743,https://arxiv.org/pdf/2608.20743,medium,Conditioning overhead can erase acceptance gains
2608.20530,2026-08-20,LiLiCorr: Lightweight Likelihood Correlation of Parallel Drafts for Speculative Decoding,arXiv,core,parallel proposal correlation,target-preserving standard verification,method_results_verified,24,https://arxiv.org/abs/2608.20530,https://arxiv.org/pdf/2608.20530,immediate,Top-k lattice compatibility model for coherent prefixes
2608.19147,2026-08-19,Pre-Compiled Pipeline Shards for Distributed LLM Inference on Intel AI PC Fleets,arXiv,core-system,logical KV rewind and distributed pipeline,greedy bit-exact in evaluated setup,method_results_verified,34,https://arxiv.org/abs/2608.19147,https://arxiv.org/pdf/2608.19147,high,Mask rejected cache positions instead of physical trim
2608.18183,2026-08-18,Accelerating Visual On-Policy Distillation with Batched Speculative Jacobi Rollouts,arXiv,core-application,batched speculative Jacobi rollout,greedy exact to current student; probabilistic rejection sampling,method_results_verified,11,https://arxiv.org/abs/2608.18183,https://arxiv.org/pdf/2608.18183,high,Independent image progress plus hardware-calibrated execution switch
2608.15636,2026-08-16,Algorithm–Architecture Co-Design for Efficient VLA Inference via Speculative Inference and Verification,arXiv,adjacent,action-level speculative execution,lossy closed-loop,method_results_verified,14,https://arxiv.org/abs/2608.15636,https://arxiv.org/pdf/2608.15636,medium,Not token-level target distribution preservation
2608.15454,2026-08-15,Dynamic Multi-Byte Prediction With Hierarchical Language Models,arXiv,exclude,direct multi-token generation,not-speculative-decoding,method_results_verified,13,https://arxiv.org/abs/2608.15454,https://arxiv.org/pdf/2608.15454,exclude,No draft-target verification
2608.15018,2026-08-15,S2-MoE: Enabling Efficient Self-Speculative Decoding for Mixture-of-Experts on Edge Devices,arXiv,core,MoE cost-aware tree and routing,lossy controlled approximation,method_results_verified,13,https://arxiv.org/abs/2608.15018,https://arxiv.org/pdf/2608.15018,immediate,Reuse-aware gating modifies target routing
2608.14787,2026-08-14,From Positionwise Confidence to Prefix Scheduling: Verifier Skipping in Speculative Decoding,arXiv,core,verifier call skipping,lossy approximate,method_results_verified,14,https://arxiv.org/abs/2608.14787,https://arxiv.org/pdf/2608.14787,immediate,Prefix-level scheduling not determined by token calibration
2608.13524,2026-08-13,DARTree: Speculative Diffusion Decoding with Autoregressive Draft Trees,arXiv,core,tree semi-autoregressive proposal,target-preserving standard tree verification; stochastic audit pending,method_results_verified,16,https://arxiv.org/abs/2608.13524,https://arxiv.org/pdf/2608.13524,immediate,Deferred global top-B pruning with prefix closure
